county,povall_2019,pctpovall_2019,gm_chemical_name,date,year,mean_gm_result
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2010-02-15,2010,353
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2010-03-15,2010,408
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2010-04-15,2010,336
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2010-05-15,2010,333.2
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2010-06-15,2010,359.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2010-07-15,2010,279.333333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2010-08-15,2010,426
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2010-09-15,2010,344
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2010-10-15,2010,233
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2010-11-15,2010,255
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2010-12-15,2010,340.625
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2011-01-15,2011,369.333333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2011-03-15,2011,322
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2011-04-15,2011,344
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2011-06-15,2011,335
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2011-07-15,2011,275
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2011-08-15,2011,267.666666666667
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2011-09-15,2011,361.125
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2011-12-15,2011,352.666666666667
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2012-01-15,2012,371.2
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2012-03-15,2012,409.75
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2012-04-15,2012,224
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2012-06-15,2012,367.625
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2012-07-15,2012,249.190476190476
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2012-08-15,2012,378.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2012-09-15,2012,397.2
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2012-10-15,2012,277.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2012-11-15,2012,369
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2012-12-15,2012,320
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2013-02-15,2013,379
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2013-03-15,2013,376
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2013-05-15,2013,337.8
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2013-06-15,2013,390.125
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2013-07-15,2013,260.095238095238
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2013-08-15,2013,363
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2013-10-15,2013,358.571428571429
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2013-11-15,2013,322.555555555556
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2013-12-15,2013,380
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2014-01-15,2014,450.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2014-05-15,2014,234
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2014-06-15,2014,402.923076923077
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2014-07-15,2014,272.285714285714
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2014-08-15,2014,261.727272727273
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2014-09-15,2014,382
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2014-11-15,2014,302
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2014-12-15,2014,340
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2015-01-15,2015,310
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2015-03-15,2015,314
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2015-04-15,2015,360
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2015-05-15,2015,419.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2015-06-15,2015,313.666666666667
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2015-07-15,2015,255.478260869565
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2015-08-15,2015,335
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2015-09-15,2015,270.666666666667
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2015-11-15,2015,308.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2015-12-15,2015,350
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2016-02-15,2016,344
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2016-03-15,2016,318.75
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2016-04-15,2016,424
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2016-05-15,2016,285.875
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2016-06-15,2016,345.6
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2016-07-15,2016,262.208333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2016-08-15,2016,403
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2016-09-15,2016,324.333333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2016-10-15,2016,336
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2016-11-15,2016,298.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2017-01-15,2017,348.142857142857
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2017-03-15,2017,214
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2017-04-15,2017,286
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2017-06-15,2017,383.2
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2017-07-15,2017,285.296296296296
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2017-08-15,2017,370
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2017-09-15,2017,409
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2017-10-15,2017,369
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2017-11-15,2017,220
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2018-01-15,2018,405
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2018-02-15,2018,398.125
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2018-03-15,2018,345
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2018-04-15,2018,412
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2018-06-15,2018,407.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2018-07-15,2018,298.464285714286
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2018-08-15,2018,415.25
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2018-10-15,2018,357
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2018-12-15,2018,370.666666666667
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2019-01-15,2019,364.875
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2019-02-15,2019,300
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2019-04-15,2019,348.666666666667
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2019-05-15,2019,260.909090909091
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2019-06-15,2019,404
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2019-07-15,2019,321.833333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2019-08-15,2019,377
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2019-10-15,2019,348
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2019-12-15,2019,316.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2020-01-15,2020,348.125
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2020-02-15,2020,250
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2020-03-15,2020,190
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2020-05-15,2020,212
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2020-06-15,2020,358
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2020-07-15,2020,322.733333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2020-10-15,2020,333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2020-12-15,2020,382
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2021-01-15,2021,334.363636363636
Alameda,146315,8.9,Nitrate as N (mg/l),2000-01-15,2000,2.33
Alameda,146315,8.9,Nitrate as N (mg/l),2000-02-15,2000,0.26
Alameda,146315,8.9,Nitrate as N (mg/l),2000-03-15,2000,3.74527142857143
Alameda,146315,8.9,Nitrate as N (mg/l),2000-04-15,2000,1.9075
Alameda,146315,8.9,Nitrate as N (mg/l),2000-06-15,2000,5.457
Alameda,146315,8.9,Nitrate as N (mg/l),2000-07-15,2000,2.17269166666667
Alameda,146315,8.9,Nitrate as N (mg/l),2000-08-15,2000,9.89473684210526
Alameda,146315,8.9,Nitrate as N (mg/l),2000-09-15,2000,9.05818181818182
Alameda,146315,8.9,Nitrate as N (mg/l),2000-10-15,2000,5.27369714285714
Alameda,146315,8.9,Nitrate as N (mg/l),2000-11-15,2000,6.18
Alameda,146315,8.9,Nitrate as N (mg/l),2000-12-15,2000,4.116
Alameda,146315,8.9,Nitrate as N (mg/l),2001-01-15,2001,3.37725
Alameda,146315,8.9,Nitrate as N (mg/l),2001-02-15,2001,1.07982105263158
Alameda,146315,8.9,Nitrate as N (mg/l),2001-03-15,2001,6.625
Alameda,146315,8.9,Nitrate as N (mg/l),2001-04-15,2001,6.57406666666667
Alameda,146315,8.9,Nitrate as N (mg/l),2001-05-15,2001,8.71538461538461
Alameda,146315,8.9,Nitrate as N (mg/l),2001-06-15,2001,10.1315789473684
Alameda,146315,8.9,Nitrate as N (mg/l),2001-07-15,2001,5.14111111111111
Alameda,146315,8.9,Nitrate as N (mg/l),2001-08-15,2001,4.28247931034483
Alameda,146315,8.9,Nitrate as N (mg/l),2001-09-15,2001,6.9
Alameda,146315,8.9,Nitrate as N (mg/l),2001-10-15,2001,4.260032
Alameda,146315,8.9,Nitrate as N (mg/l),2001-11-15,2001,3.55953846153846
Alameda,146315,8.9,Nitrate as N (mg/l),2001-12-15,2001,2.536125
Alameda,146315,8.9,Nitrate as N (mg/l),2002-01-15,2002,2.69071428571429
Alameda,146315,8.9,Nitrate as N (mg/l),2002-02-15,2002,1.00835333333333
Alameda,146315,8.9,Nitrate as N (mg/l),2002-04-15,2002,5.6919
Alameda,146315,8.9,Nitrate as N (mg/l),2002-05-15,2002,8.91
Alameda,146315,8.9,Nitrate as N (mg/l),2002-06-15,2002,3.18391666666667
Alameda,146315,8.9,Nitrate as N (mg/l),2002-07-15,2002,5.87253333333333
Alameda,146315,8.9,Nitrate as N (mg/l),2002-08-15,2002,7.175
Alameda,146315,8.9,Nitrate as N (mg/l),2002-09-15,2002,7.9
Alameda,146315,8.9,Nitrate as N (mg/l),2002-10-15,2002,4.84912903225806
Alameda,146315,8.9,Nitrate as N (mg/l),2002-11-15,2002,10.8888888888889
Alameda,146315,8.9,Nitrate as N (mg/l),2002-12-15,2002,8.56666666666667
Alameda,146315,8.9,Nitrate as N (mg/l),2003-01-15,2003,6.89294444444444
Alameda,146315,8.9,Nitrate as N (mg/l),2003-02-15,2003,4.37073333333333
Alameda,146315,8.9,Nitrate as N (mg/l),2003-03-15,2003,9.48181818181818
Alameda,146315,8.9,Nitrate as N (mg/l),2003-04-15,2003,7.89955
Alameda,146315,8.9,Nitrate as N (mg/l),2003-05-15,2003,6.97266666666667
Alameda,146315,8.9,Nitrate as N (mg/l),2003-06-15,2003,4.30657096774194
Alameda,146315,8.9,Nitrate as N (mg/l),2003-07-15,2003,8.26454
Alameda,146315,8.9,Nitrate as N (mg/l),2003-08-15,2003,7.19913333333333
Alameda,146315,8.9,Nitrate as N (mg/l),2003-09-15,2003,6.808125
Alameda,146315,8.9,Nitrate as N (mg/l),2003-10-15,2003,3.65603225806452
Alameda,146315,8.9,Nitrate as N (mg/l),2003-11-15,2003,2.03333333333333
Alameda,146315,8.9,Nitrate as N (mg/l),2003-12-15,2003,4.36309333333333
Alameda,146315,8.9,Nitrate as N (mg/l),2004-01-15,2004,3.0775
Alameda,146315,8.9,Nitrate as N (mg/l),2004-02-15,2004,2.04736153846154
Alameda,146315,8.9,Nitrate as N (mg/l),2004-03-15,2004,5.02
Alameda,146315,8.9,Nitrate as N (mg/l),2004-04-15,2004,2.9376
Alameda,146315,8.9,Nitrate as N (mg/l),2004-05-15,2004,6.83696363636364
Alameda,146315,8.9,Nitrate as N (mg/l),2004-06-15,2004,3.57543684210526
Alameda,146315,8.9,Nitrate as N (mg/l),2004-07-15,2004,8.85075
Alameda,146315,8.9,Nitrate as N (mg/l),2004-08-15,2004,8.86241052631579
Alameda,146315,8.9,Nitrate as N (mg/l),2004-09-15,2004,5.928275
Alameda,146315,8.9,Nitrate as N (mg/l),2004-10-15,2004,2.92085
Alameda,146315,8.9,Nitrate as N (mg/l),2004-11-15,2004,3.92575833333333
Alameda,146315,8.9,Nitrate as N (mg/l),2004-12-15,2004,4.45586875
Alameda,146315,8.9,Nitrate as N (mg/l),2005-01-15,2005,6.0715
Alameda,146315,8.9,Nitrate as N (mg/l),2005-02-15,2005,3.40506896551724
Alameda,146315,8.9,Nitrate as N (mg/l),2005-03-15,2005,5.11106666666667
Alameda,146315,8.9,Nitrate as N (mg/l),2005-04-15,2005,6.39423636363636
Alameda,146315,8.9,Nitrate as N (mg/l),2005-05-15,2005,6.58825263157895
Alameda,146315,8.9,Nitrate as N (mg/l),2005-06-15,2005,4.44538157894737
Alameda,146315,8.9,Nitrate as N (mg/l),2005-07-15,2005,7.19127222222222
Alameda,146315,8.9,Nitrate as N (mg/l),2005-08-15,2005,7.27235652173913
Alameda,146315,8.9,Nitrate as N (mg/l),2005-09-15,2005,5.214475
Alameda,146315,8.9,Nitrate as N (mg/l),2005-10-15,2005,5.42470833333333
Alameda,146315,8.9,Nitrate as N (mg/l),2005-11-15,2005,2.68385263157895
Alameda,146315,8.9,Nitrate as N (mg/l),2005-12-15,2005,5.48318181818182
Alameda,146315,8.9,Nitrate as N (mg/l),2006-01-15,2006,5.45315333333333
Alameda,146315,8.9,Nitrate as N (mg/l),2006-02-15,2006,1.97289444444444
Alameda,146315,8.9,Nitrate as N (mg/l),2006-03-15,2006,7.11701428571429
Alameda,146315,8.9,Nitrate as N (mg/l),2006-04-15,2006,5.97130434782609
Alameda,146315,8.9,Nitrate as N (mg/l),2006-05-15,2006,8.11176470588235
Alameda,146315,8.9,Nitrate as N (mg/l),2006-06-15,2006,4.86048684210526
Alameda,146315,8.9,Nitrate as N (mg/l),2006-07-15,2006,7.48056666666667
Alameda,146315,8.9,Nitrate as N (mg/l),2006-08-15,2006,8.39133333333333
Alameda,146315,8.9,Nitrate as N (mg/l),2006-09-15,2006,6.1172125
Alameda,146315,8.9,Nitrate as N (mg/l),2006-10-15,2006,3.23600666666667
Alameda,146315,8.9,Nitrate as N (mg/l),2006-11-15,2006,5.4015625
Alameda,146315,8.9,Nitrate as N (mg/l),2006-12-15,2006,5.43267
Alameda,146315,8.9,Nitrate as N (mg/l),2007-01-15,2007,6.24824545454545
Alameda,146315,8.9,Nitrate as N (mg/l),2007-02-15,2007,3.01705925925926
Alameda,146315,8.9,Nitrate as N (mg/l),2007-03-15,2007,5.66098571428571
Alameda,146315,8.9,Nitrate as N (mg/l),2007-04-15,2007,5.64746666666667
Alameda,146315,8.9,Nitrate as N (mg/l),2007-05-15,2007,8.03951111111111
Alameda,146315,8.9,Nitrate as N (mg/l),2007-06-15,2007,6.99657826086957
Alameda,146315,8.9,Nitrate as N (mg/l),2007-07-15,2007,5.51969333333333
Alameda,146315,8.9,Nitrate as N (mg/l),2007-08-15,2007,4.73221379310345
Alameda,146315,8.9,Nitrate as N (mg/l),2007-09-15,2007,7.10685652173913
Alameda,146315,8.9,Nitrate as N (mg/l),2007-10-15,2007,7.228245
Alameda,146315,8.9,Nitrate as N (mg/l),2007-11-15,2007,3.00821904761905
Alameda,146315,8.9,Nitrate as N (mg/l),2007-12-15,2007,5.87685714285714
Alameda,146315,8.9,Nitrate as N (mg/l),2008-01-15,2008,5.92955833333333
Alameda,146315,8.9,Nitrate as N (mg/l),2008-02-15,2008,7.19796
Alameda,146315,8.9,Nitrate as N (mg/l),2008-03-15,2008,5.29144666666667
Alameda,146315,8.9,Nitrate as N (mg/l),2008-04-15,2008,6.51364285714286
Alameda,146315,8.9,Nitrate as N (mg/l),2008-05-15,2008,5.31973
Alameda,146315,8.9,Nitrate as N (mg/l),2008-06-15,2008,5.33028
Alameda,146315,8.9,Nitrate as N (mg/l),2008-07-15,2008,4.76373265306122
Alameda,146315,8.9,Nitrate as N (mg/l),2008-08-15,2008,8.06437777777778
Alameda,146315,8.9,Nitrate as N (mg/l),2008-09-15,2008,6.93049411764706
Alameda,146315,8.9,Nitrate as N (mg/l),2008-10-15,2008,7.2607
Alameda,146315,8.9,Nitrate as N (mg/l),2008-11-15,2008,7.01049333333333
Alameda,146315,8.9,Nitrate as N (mg/l),2008-12-15,2008,5.16415333333333
Alameda,146315,8.9,Nitrate as N (mg/l),2009-01-15,2009,6.487725
Alameda,146315,8.9,Nitrate as N (mg/l),2009-02-15,2009,8.226075
Alameda,146315,8.9,Nitrate as N (mg/l),2009-03-15,2009,8.018125
Alameda,146315,8.9,Nitrate as N (mg/l),2009-04-15,2009,7.44291
Alameda,146315,8.9,Nitrate as N (mg/l),2009-05-15,2009,8.31974166666667
Alameda,146315,8.9,Nitrate as N (mg/l),2009-06-15,2009,6.29615357142857
Alameda,146315,8.9,Nitrate as N (mg/l),2009-07-15,2009,4.185465
Alameda,146315,8.9,Nitrate as N (mg/l),2009-08-15,2009,7.15626363636364
Alameda,146315,8.9,Nitrate as N (mg/l),2009-09-15,2009,7.67571304347826
Alameda,146315,8.9,Nitrate as N (mg/l),2009-10-15,2009,6.78398888888889
Alameda,146315,8.9,Nitrate as N (mg/l),2009-11-15,2009,4.14836666666667
Alameda,146315,8.9,Nitrate as N (mg/l),2009-12-15,2009,4.01661538461538
Alameda,146315,8.9,Nitrate as N (mg/l),2010-01-15,2010,5.1973
Alameda,146315,8.9,Nitrate as N (mg/l),2010-02-15,2010,5.8790125
Alameda,146315,8.9,Nitrate as N (mg/l),2010-03-15,2010,6.66157
Alameda,146315,8.9,Nitrate as N (mg/l),2010-04-15,2010,6.29805454545455
Alameda,146315,8.9,Nitrate as N (mg/l),2010-05-15,2010,5.6552
Alameda,146315,8.9,Nitrate as N (mg/l),2010-06-15,2010,5.44346666666667
Alameda,146315,8.9,Nitrate as N (mg/l),2010-07-15,2010,4.90597
Alameda,146315,8.9,Nitrate as N (mg/l),2010-08-15,2010,8.27773333333333
